date,engine,id,mode,query,type
23:06:29   5/13/2018,google,621,timed,american idol,query
23:06:19   5/13/2018,google,620,timed,isla fisher,query
23:06:12   5/13/2018,google,619,timed,in the,query
23:06:05   5/13/2018,google,618,timed,jack the box,query
23:05:57   5/13/2018,google,617,timed,jack in the,query
23:05:48   5/13/2018,google,616,timed,michael douglas,query
23:05:40   5/13/2018,google,615,timed,william shatner,query
23:05:32   5/13/2018,google,614,timed,george clooney,query
23:05:24   5/13/2018,google,613,timed,Amtrak,query
23:05:15   5/13/2018,google,612,timed,tiger woods,query
23:05:08   5/13/2018,google,611,timed,pampers,query
23:04:59   5/13/2018,google,610,timed,william shatner,query
23:04:50   5/13/2018,google,609,timed,iraq,query
23:04:42   5/13/2018,google,608,timed,goldman sachs,query
23:04:33   5/13/2018,google,607,timed,m.i.a.,query
23:04:23   5/13/2018,google,606,timed,michael douglas,query
23:04:14   5/13/2018,google,605,timed,walmart,query
23:04:06   5/13/2018,google,604,timed,nfl draft,query
23:03:57   5/13/2018,google,603,timed,sandra bullock,query
23:03:48   5/13/2018,google,602,timed,Molly Ringwald,query
23:03:41   5/13/2018,google,601,timed,acm awards,query
23:03:31   5/13/2018,google,600,timed,rebbie jackson,query
23:03:24   5/13/2018,google,599,timed,Madea's Big Happy Family,query
23:03:15   5/13/2018,google,598,timed,Madea's Big Happy,query
23:03:06   5/13/2018,google,597,timed,madea's family,query
23:02:58   5/13/2018,google,596,timed,big happy,query
23:02:50   5/13/2018,google,595,timed,montreal canadiens,query
23:02:43   5/13/2018,google,594,timed,box jellyfish,query
23:02:34   5/13/2018,google,593,timed,goldman sachs,query
23:02:25   5/13/2018,google,592,timed,new 100 dollar bill,query
23:02:17   5/13/2018,google,591,timed,einstein horse,query
23:02:08   5/13/2018,google,590,timed,american idol,query
23:01:58   5/13/2018,google,589,timed,nasa space shuttle,query
23:01:48   5/13/2018,google,588,timed,rolling stone magazine,query
23:01:41   5/13/2018,google,587,timed,Earth Day,query
23:01:33   5/13/2018,google,586,timed,kentucky derby,query
23:01:25   5/13/2018,google,585,timed,ebay,query
23:01:15   5/13/2018,google,584,timed,hertz,query
23:01:08   5/13/2018,google,583,timed,einstein horse,query
23:00:59   5/13/2018,google,582,timed,nascar,query
23:00:52   5/13/2018,google,581,timed,heather locklear,query
23:00:45   5/13/2018,google,580,timed,halle berry,query
23:00:37   5/13/2018,google,579,timed,einstein horse,query
23:00:30   5/13/2018,google,578,timed,acm awards,query
23:00:22   5/13/2018,google,577,timed,xbox,query
23:00:13   5/13/2018,google,576,timed,with the stars,query
23:00:03   5/13/2018,google,575,timed,Dancing With the Stars,query
22:59:54   5/13/2018,google,574,timed,with the,query
22:59:46   5/13/2018,google,573,timed,tiger woods,query
22:59:39   5/13/2018,google,572,timed,yahoo,query
22:59:32   5/13/2018,google,571,timed,earth day,query
22:59:24   5/13/2018,google,570,timed,nascar,query
22:59:17   5/13/2018,google,569,timed,earth day,query
22:59:08   5/13/2018,google,568,timed,jennifer aniston,query
22:58:58   5/13/2018,google,567,timed,amazon,query
22:58:49   5/13/2018,google,566,timed,william shatner,query
22:58:41   5/13/2018,google,565,timed,Borders,query
22:58:33   5/13/2018,google,564,timed,face transplant,query
22:58:26   5/13/2018,google,563,timed,justin bieber,query
22:58:17   5/13/2018,google,562,timed,dorothy height,query
22:58:10   5/13/2018,google,561,timed,NASCAR,query
22:58:01   5/13/2018,google,560,timed,earth day,query
22:57:52   5/13/2018,google,559,timed,best buy,query
22:57:42   5/13/2018,google,558,timed,Kate Gosselin,query
22:57:34   5/13/2018,google,557,timed,youtube,query
22:57:24   5/13/2018,google,556,timed,pampers,query
22:57:18   5/13/2018,google,555,timed,david mclaughlin,query
22:57:10   5/13/2018,google,554,timed,justin bieber,query
22:57:03   5/13/2018,google,553,burst,yahoo,query
22:56:58   5/13/2018,google,552,burst,palm,query
22:56:51   5/13/2018,google,551,burst,beastie boys,query
22:56:45   5/13/2018,google,550,burst,Milwaukee Bucks,query
22:56:41   5/13/2018,google,549,burst,conan o'brien,query
22:56:32   5/13/2018,google,548,burst,dorothy provine,query
22:56:23   5/13/2018,google,547,burst,ncis,query
22:56:15   5/13/2018,google,546,burst,american idol,query
22:56:08   5/13/2018,google,545,burst,Crystal Bowersox,query
22:56:01   5/13/2018,google,544,timed,tiger woods,query
22:55:53   5/13/2018,google, , , ,info
22:55:53   5/13/2018,google, , , ,URLmap
22:55:53   5/13/2018,google, , , ,info
22:55:51   5/13/2018,google,543,timed,american idol,query
22:55:42   5/13/2018,google,542,timed,heather locklear,query
22:55:33   5/13/2018,google,541,timed,nasa space shuttle,query
22:55:24   5/13/2018,google,540,timed,oil rig explosion,query
22:55:15   5/13/2018,google,539,timed,joey lawrence,query
22:55:06   5/13/2018,google,538,burst,dell,query
22:55:02   5/13/2018,google,537,burst,halle berry,query
22:54:53   5/13/2018,google,536,burst,borders,query
22:54:47   5/13/2018,google,535,burst,m.i.a.,query
22:54:39   5/13/2018,google,534,burst,amtrak,query
22:54:34   5/13/2018,google,533,burst,face transplant,query
22:54:27   5/13/2018,google,532,burst,home depot,query
22:54:20   5/13/2018,google,531,burst,facebook,query
22:54:14   5/13/2018,google,530,burst,nasa space shuttle,query
22:54:10   5/13/2018,google, , , ,info
22:54:10   5/13/2018,google, , , ,info
22:54:05   5/13/2018,google,529,timed,milwaukee bucks,query
22:54:01   5/13/2018,google, , , ,info
22:54:01   5/13/2018,google, , , ,URLmap
22:54:01   5/13/2018,google, , , ,info
22:53:57   5/13/2018,google,528,recovery,american idol,query
22:45:52   5/13/2018,google, , , ,ERROR
22:45:44   5/13/2018,google,527,timed,nascar,query
22:45:37   5/13/2018,google,526,timed,jennifer aniston,query
